_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,1,1,1,1,1,1,-3.8,0,-3.5,-2,-2.1,-3.6,-5.3,-2.7,R-HSA-9012999,RHO GTPase cycle,M10111111,7,0
1,0,1,1,1,1,1,1,-2.6,0,-2.7,-5,-5.3,-3,-2.9,-2.3,GO:0035239,tube morphogenesis,M10111111,7,0
1,0,0,1,1,1,1,1,-3.2,0,0,-3.2,-3.2,-2.1,-2.3,-3.3,GO:0001568,blood vessel development,M10011111,6,0
1,0,0,1,1,1,1,1,-2.9,0,0,-3.3,-3.9,-2.7,-2.4,-2.9,GO:0048514,blood vessel morphogenesis,M10011111,6,0
1,0,1,0,1,1,1,1,-3.4,0,-2.2,0,-3,-3.3,-3.7,-2.6,R-HSA-194315,Signaling by Rho GTPases,M10101111,6,0
0,1,0,1,1,1,1,1,0,-5.1,0,-2.7,-4,-4.5,-5.6,-2.4,GO:0009611,response to wounding,M01011111,6,0
1,1,0,0,1,1,1,1,-7.4,-3.4,0,0,-6.8,-4.5,-4.3,-2.5,R-HSA-6798695,Neutrophil degranulation,M11001111,6,0
1,1,0,0,1,1,1,1,-2.1,-4.5,0,0,-4.1,-2.4,-2.3,-2.2,R-HSA-109582,Hemostasis,M11001111,6,0
0,1,0,1,1,1,1,1,0,-4.1,0,-2.3,-3.2,-3.7,-7.1,-2,GO:0042060,wound healing,M01011111,6,0
1,0,1,0,1,1,1,1,-3.3,0,-2.1,0,-2.9,-3.2,-3.6,-3,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M10101111,6,0
1,0,0,1,1,1,0,1,-2.9,0,0,-3.2,-2.2,-2.6,0,-2.8,GO:1901342,regulation of vasculature development,M10011101,5,0
1,0,0,1,1,1,0,1,-3,0,0,-2.7,-2.3,-2.2,0,-2.9,GO:0045765,regulation of angiogenesis,M10011101,5,0
1,0,1,0,1,1,1,0,-4.2,0,-3.8,0,-2.4,-3.1,-3.5,0,GO:0120035,regulation of plasma membrane bounded cell projection organization,M10101110,5,0
0,0,0,1,1,1,1,1,0,0,0,-2.5,-2,-3.3,-8.1,-5.9,R-HSA-199991,Membrane Trafficking,M00011111,5,0
0,1,0,1,1,1,1,0,0,-2.9,0,-2.7,-2.3,-3.5,-2.4,0,GO:0030198,extracellular matrix organization,M01011110,5,0
0,1,0,1,1,1,1,0,0,-2.9,0,-2.7,-2.3,-3.5,-2.4,0,GO:0045229,external encapsulating structure organization,M01011110,5,0
0,1,0,1,1,1,0,1,0,-2.4,0,-2.3,-6.2,-2,0,-2.7,GO:0008285,negative regulation of cell population proliferation,M01011101,5,0
1,0,0,1,1,1,0,1,-2.1,0,0,-2.4,-4.2,-4.6,0,-2.1,GO:0043410,positive regulation of MAPK cascade,M10011101,5,0
1,1,0,0,1,1,1,0,-2.3,-2.6,0,0,-2.1,-2.6,-2.8,0,R-HSA-1474244,Extracellular matrix organization,M11001110,5,0
0,1,0,1,0,1,1,1,0,-2.3,0,-2.8,0,-3,-8.4,-6.2,R-HSA-5653656,Vesicle-mediated transport,M01010111,5,0
1,0,0,1,1,0,1,1,-3,0,0,-3,-3.6,0,-2.2,-3.1,GO:0001944,vasculature development,M10011011,5,0
1,1,0,1,0,1,1,0,-3.2,-3.9,0,-3.8,0,-3,-2.3,0,GO:0006897,endocytosis,M11010110,5,0
1,1,0,1,1,0,0,1,-2.8,-8.2,0,-2.1,-4.4,0,0,-2.1,R-HSA-382551,Transport of small molecules,M11011001,5,0
1,0,1,0,1,1,1,0,-4.1,0,-4.2,0,-2.3,-3.5,-3.4,0,GO:0031344,regulation of cell projection organization,M10101110,5,0
1,0,1,1,1,1,0,0,-4.2,0,-2.8,-2.3,-2.7,-3,0,0,GO:0071417,cellular response to organonitrogen compound,M10111100,5,0
1,1,0,1,1,0,1,0,-3.1,-3.8,0,-2.4,-6.5,0,-2.1,0,GO:0051336,regulation of hydrolase activity,M11011010,5,0
1,0,1,1,1,1,0,0,-3.9,0,-3,-2.5,-4,-3.8,0,0,GO:1901699,cellular response to nitrogen compound,M10111100,5,0
0,1,0,1,1,1,1,0,0,-2.9,0,-2.7,-2.3,-3.5,-2.4,0,GO:0043062,extracellular structure organization,M01011110,5,0
1,0,0,1,1,1,0,0,-2.4,0,0,-2.3,-7,-4.2,0,0,GO:0030335,positive regulation of cell migration,M10011100,4,0
0,0,1,0,1,1,1,0,0,0,-2.1,0,-2.1,-2,-2.2,0,GO:0001666,response to hypoxia,M00101110,4,0
1,1,0,0,0,0,1,1,-2.7,-2.5,0,0,0,0,-3.9,-2.7,GO:0009117,nucleotide metabolic process,M11000011,4,0
1,1,0,0,0,0,1,1,-3.2,-2.6,0,0,0,0,-3.9,-2.6,GO:0006163,purine nucleotide metabolic process,M11000011,4,0
0,0,1,1,1,1,0,0,0,0,-2.4,-2.5,-2.1,-2.5,0,0,GO:0002009,morphogenesis of an epithelium,M00111100,4,0
1,0,0,1,1,1,0,0,-2.2,0,0,-2.2,-6.7,-4.6,0,0,GO:2000147,positive regulation of cell motility,M10011100,4,0
1,0,0,1,1,1,0,0,-2.9,0,0,-2.1,-3.2,-3.1,0,0,GO:0032872,regulation of stress-activated MAPK cascade,M10011100,4,0
0,0,0,1,1,1,0,1,0,0,0,-3.7,-11,-5.7,0,-2.1,GO:0009615,response to virus,M00011101,4,0
1,0,1,0,1,1,0,0,-3.7,0,-3.3,0,-3,-2.9,0,0,GO:0071407,cellular response to organic cyclic compound,M10101100,4,0
0,0,0,1,1,1,0,1,0,0,0,-2.5,-17,-7,0,-2.1,GO:0071345,cellular response to cytokine stimulus,M00011101,4,0
1,0,1,1,0,1,0,0,-2,0,-2.3,-4.1,0,-2.2,0,0,GO:0032956,regulation of actin cytoskeleton organization,M10110100,4,0
1,0,0,0,1,1,0,1,-2.3,0,0,0,-7.3,-3.1,0,-3.4,WP5087,Pleural mesothelioma,M10001101,4,0
1,0,1,0,0,1,1,0,-2.6,0,-2.4,0,0,-2.1,-3,0,GO:0010976,positive regulation of neuron projection development,M10100110,4,0
1,0,0,1,1,0,0,1,-3.1,0,0,-2.8,-5,0,0,-3,GO:0001525,angiogenesis,M10011001,4,0
0,0,1,1,1,1,0,0,0,0,-2.4,-2.5,-3.8,-4.1,0,0,GO:0045596,negative regulation of cell differentiation,M00111100,4,0
0,0,0,0,1,1,1,1,0,0,0,0,-6.7,-2.1,-2.4,-6.1,WP3888,VEGFA VEGFR2 signaling,M00001111,4,0
0,0,1,0,1,1,1,0,0,0,-2.4,0,-6.4,-2.1,-2.2,0,M5902,HALLMARK APOPTOSIS,M00101110,4,0
1,0,0,1,1,1,0,0,-2.1,0,0,-4.2,-9.7,-2.9,0,0,GO:2001233,regulation of apoptotic signaling pathway,M10011100,4,0
0,0,0,1,1,1,0,1,0,0,0,-2.9,-11,-3.9,0,-2,GO:0045785,positive regulation of cell adhesion,M00011101,4,0
0,1,1,1,0,1,0,0,0,-2.4,-3.6,-4,0,-2.1,0,0,GO:0010810,regulation of cell-substrate adhesion,M01110100,4,0
1,0,0,1,1,1,0,0,-2.1,0,0,-2.1,-3.1,-2.3,0,0,GO:0007264,small GTPase mediated signal transduction,M10011100,4,0
0,1,0,1,1,1,0,0,0,-2,0,-2.5,-4.2,-4.6,0,0,GO:0030036,actin cytoskeleton organization,M01011100,4,0
0,0,0,1,1,1,0,1,0,0,0,-2.7,-37,-16,0,-3.6,R-HSA-1280215,Cytokine Signaling in Immune system,M00011101,4,0
1,0,0,1,1,1,0,0,-3.2,0,0,-2.4,-6.1,-4.6,0,0,GO:0043408,regulation of MAPK cascade,M10011100,4,0
0,0,1,1,1,0,1,0,0,0,-2.6,-2.4,-2,0,-2.1,0,GO:0036293,response to decreased oxygen levels,M00111010,4,0
1,0,1,0,1,1,0,0,-4.2,0,-2.4,0,-15,-2.5,0,0,hsa05200,Pathways in cancer,M10101100,4,0
1,1,0,0,0,0,1,1,-2.6,-2.9,0,0,0,0,-3.9,-2.7,GO:0006753,nucleoside phosphate metabolic process,M11000011,4,0
0,1,0,1,1,1,0,0,0,-2,0,-2.7,-7.4,-4.1,0,0,GO:0030162,regulation of proteolysis,M01011100,4,0
1,0,0,0,1,1,0,1,-2.3,0,0,0,-3.3,-2.5,0,-2.7,GO:0033674,positive regulation of kinase activity,M10001101,4,0
1,0,0,1,1,1,0,0,-2.1,0,0,-2.6,-6.6,-4.5,0,0,GO:0040017,positive regulation of locomotion,M10011100,4,0
0,0,0,1,1,1,0,1,0,0,0,-2.4,-4,-2,0,-2.7,hsa04010,MAPK signaling pathway,M00011101,4,0
1,0,0,0,1,1,0,1,-3.4,0,0,0,-9.9,-2.6,0,-2.8,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M10001101,4,0
1,1,0,0,1,0,1,0,-3.5,-2.1,0,0,-2.7,0,-3.4,0,GO:0051056,regulation of small GTPase mediated signal transduction,M11001010,4,0
1,0,1,0,0,1,1,0,-2.9,0,-2.2,0,0,-2.1,-2.3,0,GO:0031346,positive regulation of cell projection organization,M10100110,4,0
1,0,0,1,0,1,0,1,-4,0,0,-2.9,0,-2.8,0,-2.5,GO:0071363,cellular response to growth factor stimulus,M10010101,4,0
0,0,1,1,0,1,1,0,0,0,-2.4,-2.4,0,-2.1,-3.8,0,WP481,Insulin signaling,M00110110,4,0
1,0,0,0,1,1,0,1,-3,0,0,0,-3.6,-3.4,0,-4.2,GO:0008283,cell population proliferation,M10001101,4,0
0,0,1,0,1,1,0,1,0,0,-2,0,-4.9,-2.2,0,-2,GO:0080135,regulation of cellular response to stress,M00101101,4,0
0,0,0,0,1,1,1,1,0,0,0,0,-3.5,-2,-4.4,-3.5,GO:0034976,response to endoplasmic reticulum stress,M00001111,4,0
1,0,1,1,1,0,0,0,-2.3,0,-2.5,-2.2,-3.3,0,0,0,GO:0044089,positive regulation of cellular component biogenesis,M10111000,4,0
0,0,0,1,1,0,1,1,0,0,0,-2.4,-2.8,0,-4,-5.5,GO:0033365,protein localization to organelle,M00011011,4,0
1,1,0,1,0,0,1,0,-7.5,-4.3,0,-5.1,0,0,-15,0,R-HSA-556833,Metabolism of lipids,M11010010,4,0
1,0,0,0,1,1,0,1,-4.8,0,0,0,-3.1,-2.5,0,-2.2,GO:0043549,regulation of kinase activity,M10001101,4,0
1,1,0,0,0,0,1,1,-2.2,-2.8,0,0,0,0,-4.5,-3.8,GO:0055086,nucleobase-containing small molecule metabolic process,M11000011,4,0
0,0,0,1,1,1,1,0,0,0,0,-2.9,-2.5,-2.4,-2,0,GO:0071496,cellular response to external stimulus,M00011110,4,0
1,0,0,1,0,1,1,0,-3.3,0,0,-5.3,0,-2.8,-2.2,0,GO:0016310,phosphorylation,M10010110,4,0
1,1,0,0,0,0,1,1,-2.9,-2.8,0,0,0,0,-3.6,-3,GO:0072521,purine-containing compound metabolic process,M11000011,4,0
1,1,0,0,0,1,1,0,-4.7,-13,0,0,0,-2.8,-6.3,0,GO:1901615,organic hydroxy compound metabolic process,M11000110,4,0
0,1,0,0,1,1,0,1,0,-2.8,0,0,-5.8,-2.2,0,-2.3,GO:0052548,regulation of endopeptidase activity,M01001101,4,0
