GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
GO:0030097,hemopoiesis,-9.580112352014384,0.0,-6.447370907859391,-5.294739287178047,-4.763171893231468,-6.421817208459012
GO:0050865,regulation of cell activation,-5.8311418013277345,0.0,-11.866558317437944,-4.198473472316813,-2.3705744770187387,-5.8311418013277345
GO:0007167,enzyme-linked receptor protein signaling pathway,-7.104230578509946,0.0,-3.291240101491407,-3.750721669750633,-8.392413567355304,-7.104230578509946
GO:2000147,positive regulation of cell motility,-8.619504688737075,0.0,-2.9524198156227706,-6.076944646920188,-7.307669740763381,-8.619504688737075
R-HSA-9012999,RHO GTPase cycle,-3.2247295210244156,0.0,-3.7713458762076537,-6.17571152306131,-9.763661460681083,-9.001391198593366
M5890,HALLMARK TNFA SIGNALING VIA NFKB,-20.768886519908246,0.0,-13.874897543757106,-2.405422744675795,-12.77611975174148,-8.762831268539964
R-HSA-6798695,Neutrophil degranulation,-4.557823512877962,-17.594913522614537,-5.166509706466565,-7.757650200176899,-2.0541391118564154,-5.14744671693601
GO:0098657,import into cell,-5.029260868470777,-4.0434208671937135,-3.5738325939650055,-7.291191640690929,-5.564349981404263,-6.696000509582733
M5921,HALLMARK COMPLEMENT,-5.256357181821387,-3.0539727497676985,-8.782608494160884,-3.7357812151051575,-3.0446506538220635,-2.405422744675795
R-HSA-1474244,Extracellular matrix organization,0.0,0.0,-4.310440497103779,-11.469236591057326,-7.199330401286087,-4.296505225026229
R-HSA-109582,Hemostasis,-4.786411443642938,0.0,0.0,-9.079901308414549,-5.90805722935735,-6.5019211507297205
GO:0009611,response to wounding,-4.626121906407368,-2.015666837042557,0.0,-5.2453706670292295,-7.265407599834422,-9.504753450214686
GO:0030029,actin filament-based process,-4.341532683721467,0.0,0.0,-2.895914705482238,-21.36603638553575,-13.662143559349051
WP3888,VEGFA VEGFR2 signaling,-8.555358407651445,0.0,0.0,0.0,-5.754757373039822,-12.555589159249303
GO:0071345,cellular response to cytokine stimulus,-20.124677014328633,0.0,-8.846270021692796,0.0,-2.929912145817676,-5.834667589204829
R-HSA-1280215,Cytokine Signaling in Immune system,-17.402484710921158,0.0,-23.35929997040995,0.0,-6.994100273456834,-3.444525830210664
GO:0045087,innate immune response,-13.068882210042393,0.0,-27.35295847139529,0.0,0.0,-3.993087376446358
M5913,HALLMARK INTERFERON GAMMA RESPONSE,-12.77611975174148,0.0,-31.176803960141562,0.0,0.0,-2.405422744675795
M5932,HALLMARK INFLAMMATORY RESPONSE,-10.712614378873385,0.0,-16.09451027908766,0.0,0.0,-3.7357812151051575
GO:0006954,inflammatory response,-11.498212821108002,0.0,-14.730946496914454,-4.2797289545889905,0.0,-3.2673641078579108
